OBJECTID_x,AIN,APN,SitusCity,SitusFullAddress,TaxRateCity,CENTER_LAT,CENTER_LON,CENTER_X,CENTER_Y,LAT_LON,ShapeSTArea,ShapeSTLength,Shape,WKT,OBJECTID_y,CODE,BLD_ID,HEIGHT,ELEV,AREA,LARIAC_SOU,LARIAC_DAT,STATUS,CODE_NUM,coords,PARCEL_WKT
78229,4114023018,4114-023-018,LOS ANGELES CA,760 E 83RD ST LOS ANGELES CA 90001,LOS ANGELES,33.96112847,-118.43043119999999,6431142.225,1808515.44,"33.961128, -118.430431",6347.506836,332.60715689999995,,"MULTIPOLYGON (((-118.430362360578 33.9612492283691,-118.430362199983 33.9612308178854,-118.430364574777 33.9612308094132,-118.43036296993 33.9610660802679,-118.430427042662 33.9610656325935,-118.430427197524 33.9610831352561,-118.430465911835 33.9610828600797,-118.430465610798 33.9610499688126,-118.430515536769 33.9610496265657,-118.430517356466 33.9612369418892,-118.430466243531 33.9612372892736,-118.430466367286 33.9612485273118,-118.430362360578 33.9612492283691)))",251483,Building,431143808525,28.45,190.69,3038,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.430330381918 33.9609890910753,-118.430426807795 33.9609830302284,-118.430527090596 33.9609767081808,-118.430528281357 33.9612661930448,-118.430331634477 33.9612843187898,-118.430330381918 33.9609890910753)))"
136176,6003019016,6003-019-016,LOS ANGELES CA,1211 E 61ST ST LOS ANGELES CA 90001,LOS ANGELES,33.98440806,-118.2963692,6471820.182,1816840.365,"33.984408, -118.296369",6429.40332,357.0662415,,"MULTIPOLYGON (((-118.296428877603 33.9843260252442,-118.296427389696 33.9844275625549,-118.296333177582 33.9844266129583,-118.296334879969 33.984311032927,-118.296397225887 33.98431167675,-118.296397011531 33.9843257194719,-118.296428877603 33.9843260252442)))",138042,Building,471819816817,11.49,151.61,1152,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.296285684765 33.9845871458954,-118.296287203955 33.9842340654577,-118.296452264732 33.9842341523339,-118.296450713347 33.9845872603305,-118.296285684765 33.9845871458954)))"
136176,6003019016,6003-019-016,LOS ANGELES CA,1211 E 61ST ST LOS ANGELES CA 90001,LOS ANGELES,33.98440806,-118.2963692,6471820.182,1816840.365,"33.984408, -118.296369",6429.40332,357.0662415,,"MULTIPOLYGON (((-118.296314716361 33.9845882156649,-118.296317048349 33.9844548180961,-118.296386388916 33.984455801753,-118.296385205982 33.984512959712,-118.296411266231 33.9845133356443,-118.296410869782 33.9845318846492,-118.296461288661 33.9845316147392,-118.296462021347 33.9845884749964,-118.296314716361 33.9845882156649)))",312861,Building,471826816885,13.12,153.71,1552,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.296285684765 33.9845871458954,-118.296287203955 33.9842340654577,-118.296452264732 33.9842341523339,-118.296450713347 33.9845872603305,-118.296285684765 33.9845871458954)))"
136190,6003029005,6003-029-005,LOS ANGELES CA,1134 E 62ND ST LOS ANGELES CA 90001,LOS ANGELES,33.98298458,-118.29527560000001,6472150.182,1816321.3569999998,"33.982985, -118.295276",5161.140625,338.0327073,,"MULTIPOLYGON (((-118.295237776789 33.9831049576123,-118.295239603631 33.982958876825,-118.295286511113 33.9829592840271,-118.295286560071 33.9829544472118,-118.295303680017 33.9829545982418,-118.295303629604 33.982959022161,-118.29531903417 33.9829591494395,-118.295318671598 33.9829873708448,-118.295329755846 33.9829874537025,-118.295328259733 33.9831057531096,-118.295237776789 33.9831049576123)))",138855,Building,472152816340,12.64,152.76,1435,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.295209312014 33.983164302667,-118.295209544237 33.9828097965296,-118.295341518697 33.9828100487767,-118.295341254045 33.9831645549929,-118.295209312014 33.983164302667)))"
136190,6003029005,6003-029-005,LOS ANGELES CA,1134 E 62ND ST LOS ANGELES CA 90001,LOS ANGELES,33.98298458,-118.29527560000001,6472150.182,1816321.3569999998,"33.982985, -118.295276",5161.140625,338.0327073,,"MULTIPOLYGON (((-118.295228736451 33.9829077101708,-118.295229654971 33.9828315099114,-118.295309284887 33.9828321949439,-118.2953094876 33.9828148003749,-118.295347652646 33.9828151189624,-118.295346476952 33.9829119567202,-118.295300361758 33.9829115746482,-118.295300416336 33.9829083317199,-118.295228736451 33.9829077101708)))",282441,Building,472153816277,17.14,157.44999999999996,1080,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.295209312014 33.983164302667,-118.295209544237 33.9828097965296,-118.295341518697 33.9828100487767,-118.295341254045 33.9831645549929,-118.295209312014 33.983164302667)))"
149901,6007003011,6007-003-011,LOS ANGELES CA,935 E 59TH ST LOS ANGELES CA 90001,LOS ANGELES,33.98768323,-118.2579676,6483464.931,1818000.16,"33.987683, -118.257968",113124.1152,1334.177185,,"MULTIPOLYGON (((-118.258035968281 33.9881305105807,-118.258035469138 33.9881304404275,-118.258033522632 33.988130251663,-118.258031542409 33.9881300088789,-118.25802959582 33.9881297930687,-118.258027747717 33.9881295770479,-118.258025801044 33.988129334192,-118.258023853372 33.988129118384,-118.258021874146 33.9881288476503,-118.258019926391 33.9881286047966,-118.258017979718 33.9881283619406,-118.258016033046 33.9881281190845,-118.258014052651 33.9881278204058,-118.25801213836 33.9881275495332,-118.258010158054 33.9881272797031,-118.258007452203 33.9881268725891,-118.257992435337 33.9881246517799,-118.257977484725 33.9881221558613,-118.257962632175 33.9881195217977,-118.257951161858 33.9881172825834,-118.257951208313 33.988062803209,-118.257882230651 33.9880627306657,-118.257882304989 33.9879796899562,-118.2579512825 33.9879797354538,-118.257951907367 33.9873151915592,-118.258544075166 33.9873155506075,-118.258543755077 33.9881298528206,-118.258171922575 33.9881345092536,-118.25817136803 33.9880841781887,-118.258036020013 33.9880840827323,-118.258035968281 33.9881305105807)))",309065,Building,483361817875,27.0,198.49,53222,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.257829913653 33.9881547154759,-118.257751794109 33.9881287819053,-118.257676733227 33.9880971964996,-118.257610788297 33.9880633038321,-118.257548376081 33.9880250481225,-118.257489915895 33.9879826843734,-118.257435790021 33.9879364934289,-118.257386364329 33.9878867836474,-118.257346629101 33.9878398953961,-118.25731107626 33.9877907311393,-118.257279894219 33.9877395515263,-118.257253244608 33.9876866241337,-118.257247890189 33.9876745105332,-118.257231186357 33.9876316723309,-118.257217222508 33.9875881601643,-118.257210642435 33.987562998403,-118.25720757468 33.9875496244491,-118.257199981015 33.9875113213314,-118.257194584315 33.9874727593191,-118.257189026251 33.9874146068707,-118.257187176658 33.9873562918962,-118.25718719688 33.9873200213414,-118.257263064502 33.9873193072369,-118.258533286368 33.9873073963521,-118.258534363513 33.9881140372037,-118.258534387558 33.9881317902784,-118.258534473494 33.9881948337006,-118.258534473983 33.9881949917036,-118.258166204987 33.9881984423056,-118.258138451168 33.9881987030177,-118.258072395888 33.9881965644987,-118.258006679296 33.9881906056387,-118.257982978706 33.9881875051573,-118.257905626593 33.9881737655416,-118.257829913653 33.9881547154759)))"
149902,6007004002,6007-004-002,LOS ANGELES CA,850 E 59TH ST LOS ANGELES CA 90001,LOS ANGELES,33.98678237,-118.2599707,6482856.84,1817673.885,"33.986782, -118.259971",27307.020510000002,746.1556239,,"MULTIPOLYGON (((-118.259817549525 33.9864716573872,-118.260100151402 33.9864679491246,-118.260115951799 33.9871227653073,-118.259818449618 33.9871251678195,-118.259817549525 33.9864716573872)))",169807,Building,482860817686,31.13,202.85,20936,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.259951185626 33.9863788180048,-118.260135473807 33.9863770837869,-118.260135561888 33.9864404311786,-118.260136514706 33.9871274580089,-118.259806656312 33.9871305640424,-118.259805706187 33.9864435371963,-118.259805618343 33.9863801863683,-118.259951185626 33.9863788180048)))"
149903,6007004008,6007-004-008,LOS ANGELES CA,1020 E 59TH ST LOS ANGELES CA 90001,LOS ANGELES,33.98673283,-118.2576723,6483553.517000001,1817654.021,"33.986733, -118.257672",102575.0361,1484.0582470000002,,"MULTIPOLYGON (((-118.258168251029 33.9864666922857,-118.258169170751 33.9871458375784,-118.257273066138 33.9871540278655,-118.257273398076 33.9860595356754,-118.257286434382 33.9860594005988,-118.257287049496 33.9860602350026,-118.257296687613 33.9860727988651,-118.257306589295 33.986085198087,-118.257316753629 33.9860974876632,-118.257327181522 33.9861096107956,-118.257337840596 33.986121596402,-118.257348762064 33.9861333885211,-118.257359914713 33.9861450431142,-118.257371330841 33.986156505119,-118.257382977149 33.9861678557441,-118.257394853389 33.9861790147537,-118.257402864896 33.986186290115,-118.257408222909 33.9861929175292,-118.257456679101 33.986235405888,-118.257513841428 33.9862769966598,-118.25758277501 33.9863166934129,-118.257640020374 33.9863511150066,-118.257645076513 33.9863507219638,-118.257649217262 33.98635109537,-118.257655895366 33.9863537622518,-118.257662115973 33.9863575795568,-118.257698671008 33.9863853352363,-118.257904433242 33.9864460074402,-118.257992044547 33.9864558225985,-118.258099518453 33.9864674081811,-118.258168251029 33.9864666922857)))",283121,Building,483516817685,32.27,203.47,79457,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.25716357842 33.985778524699,-118.25721764411 33.9857782403865,-118.257240339835 33.9858475434216,-118.257270492587 33.9859148450934,-118.257307851205 33.9859795877688,-118.257352108944 33.9860412414124,-118.257402901383 33.986099293286,-118.257459806483 33.9861532668408,-118.257522356935 33.9862027148216,-118.257590038134 33.9862472312934,-118.257662288171 33.9862864482068,-118.257738510216 33.9863200405242,-118.257818080785 33.9863477313546,-118.25790033737 33.986369293698,-118.25798460318 33.9863845486748,-118.258070185092 33.986393370683,-118.258156373647 33.9863956856804,-118.258156460387 33.9864590811687,-118.258157396794 33.9871460256573,-118.257261302999 33.9871544372518,-118.257163170066 33.9871553588468,-118.25716357842 33.985778524699)))"
149904,6007004013,6007-004-013,LOS ANGELES CA,845 E 60TH ST LOS ANGELES CA 90001,LOS ANGELES,33.98603543,-118.26011580000001,6482812.158,1817402.1730000002,"33.986035, -118.260116",22357.8623,647.1613589,,"MULTIPOLYGON (((-118.260292879435 33.98631436773,-118.259963018752 33.9863174696662,-118.259963035777 33.9862758939129,-118.259964176459 33.9862758914555,-118.259963972567 33.9858030680838,-118.260050024006 33.9858028006273,-118.260050914296 33.9857922192906,-118.26005461477 33.9857832528431,-118.260062245144 33.9857761197452,-118.260072851993 33.9857711781544,-118.260173421855 33.985769230425,-118.260182362983 33.9857698151697,-118.260193262152 33.9857739684426,-118.260201496743 33.9857808753143,-118.26020696967 33.9857902889763,-118.260207063123 33.9857994663184,-118.26029263438 33.985799307006,-118.260291823586 33.9862473117308,-118.260292909072 33.9862473093893,-118.260292879435 33.98631436773)))",248695,Building,482783817425,22.31,191.2,19142,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.259951402661 33.9857637766615,-118.260281292961 33.9857620441254,-118.260281063007 33.9863126404677,-118.260281036956 33.9863757150344,-118.260135473807 33.9863770837869,-118.259951185626 33.9863788180048,-118.259951207812 33.9863157468808,-118.259951212947 33.9863015024653,-118.259951402661 33.9857637766615)))"
150573,6007004001,6007-004-001,LOS ANGELES CA,830 E 59TH ST LOS ANGELES CA 90001,LOS ANGELES,33.98677772,-118.26046550000001,6482706.842999999,1817672.584,"33.986778, -118.260466",54613.3877,946.1612377999999,,"MULTIPOLYGON (((-118.260805482498 33.9871154495152,-118.260559683375 33.987119681282,-118.260557160509 33.9869151392754,-118.260522128889 33.9869154619311,-118.260518863061 33.9866501910695,-118.260480664903 33.9866505205498,-118.260478108766 33.9864439141237,-118.260797052211 33.9864411643347,-118.260805482498 33.9871154495152)))",109794,Building,482639817666,22.87,193.09,21007,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.260610927432 33.9863726110772,-118.260795190846 33.9863708759056,-118.260795273303 33.9864342439169,-118.260795295534 33.9864512636472,-118.260796198521 33.9871212707874,-118.260136514706 33.9871274580089,-118.260135561888 33.9864404311786,-118.260135473807 33.9863770837869,-118.260281036956 33.9863757150344,-118.260610927432 33.9863726110772)))"
150573,6007004001,6007-004-001,LOS ANGELES CA,830 E 59TH ST LOS ANGELES CA 90001,LOS ANGELES,33.98677772,-118.26046550000001,6482706.842999999,1817672.584,"33.986778, -118.260466",54613.3877,946.1612377999999,,"MULTIPOLYGON (((-118.260153957784 33.9871242583432,-118.260155827643 33.9867727011709,-118.260170892617 33.9867706105048,-118.260170326065 33.986460790275,-118.260401069566 33.9864605125286,-118.260401210613 33.9865375350794,-118.260411633703 33.9865375125862,-118.260412426047 33.9869617532312,-118.260469625255 33.9869616847715,-118.260470843631 33.9871223405581,-118.260153957784 33.9871242583432)))",267011,Building,482765817610,22.41,193.91,19204,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.260610927432 33.9863726110772,-118.260795190846 33.9863708759056,-118.260795273303 33.9864342439169,-118.260795295534 33.9864512636472,-118.260796198521 33.9871212707874,-118.260136514706 33.9871274580089,-118.260135561888 33.9864404311786,-118.260135473807 33.9863770837869,-118.260281036956 33.9863757150344,-118.260610927432 33.9863726110772)))"
150574,6007004012,6007-004-012,LOS ANGELES CA,851 E 60TH ST LOS ANGELES CA 90001,LOS ANGELES,33.98603785,-118.25978590000001,6482912.163,1817402.7969999998,"33.986038, -118.259786",22408.0127,648.1607274,,"MULTIPOLYGON (((-118.259633125578 33.9863205707706,-118.259633348194 33.985787842727,-118.259898105113 33.9857873548157,-118.259898411357 33.9858968292699,-118.259940074177 33.9858967395282,-118.259940173359 33.9859394960303,-118.259898577616 33.9859395856275,-118.259899489784 33.9862760037509,-118.259963035777 33.9862758939129,-118.259963018752 33.9863174696662,-118.259633125578 33.9863205707706)))",314544,Building,482921817370,30.99,200.16,16072,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.259621545333 33.9857655082244,-118.259951402661 33.9857637766615,-118.259951212947 33.9863015024653,-118.259951207812 33.9863157468808,-118.259951185626 33.9863788180048,-118.259805618343 33.9863801863683,-118.259621295101 33.9863819201584,-118.259621319606 33.9863188524636,-118.259621324855 33.9863052898695,-118.259621545333 33.9857655082244)))"
150575,6007005004,6007-005-004,LOS ANGELES CA,620 E 59TH ST LOS ANGELES CA 90001,LOS ANGELES,33.98672203,-118.2630217,6481931.879,1817654.332,"33.986722, -118.263022",16657.653319999998,668.1752066,,"MULTIPOLYGON (((-118.263018045991 33.9863518057591,-118.26312940609 33.986350757916,-118.263128513893 33.9863898843298,-118.263017242488 33.9863881760107,-118.263018045991 33.9863518057591)))",113702,Building,481920817523,7.77,175.36,464,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.262921027098 33.9864140749945,-118.262920959972 33.9863508460676,-118.26312213868 33.9863489483064,-118.263123183678 33.9870993687921,-118.262921970189 33.9871012666362,-118.262921027098 33.9864140749945)))"
150576,6007005016,6007-005-016,LOS ANGELES CA,747 E 60TH ST LOS ANGELES CA 90001,LOS ANGELES,33.98602547,-118.2612707,6482462.029,1817399.457,"33.986025, -118.261271",89212.37695,1246.237056,,"MULTIPOLYGON (((-118.261657177791 33.9862475565457,-118.261733076347 33.9862463479757,-118.261734258135 33.9862972357071,-118.261658325985 33.9862984443507,-118.261657177791 33.9862475565457)))",110956,Building,482337817488,11.91,180.2,426,LARIAC2,2008,Unchanged,1,,"MULTIPOLYGON (((-118.26061115009 33.9857602558016,-118.261930527121 33.9857472405844,-118.261931230351 33.9862507788684,-118.261931252695 33.9862664469763,-118.261931295218 33.9862970927881,-118.26193132937 33.9863230981096,-118.261931347238 33.9863373390391,-118.261931367178 33.986351583399,-118.261931377636 33.9863601757019,-118.261766443789 33.9863617295733,-118.261601551168 33.9863632831293,-118.261421911944 33.9863649750997,-118.260795190846 33.9863708759056,-118.260610927432 33.9863726110772,-118.26061095125 33.9863095605601,-118.26061115009 33.9857602558016)))"
